fecha,K11-N3.85E-75.15,I12-N3.65E-75.05,I11-N3.65E-75.15,J11-N3.75E-75.15,L12-N3.95E-75.05,K13-N3.85E-74.95,J12-N3.75E-75.05,K12-N3.85E-75.05,G10-N3.45E-75.25,H10-N3.55E-75.25,G8-N3.45E-75.45,G9-N3.45E-75.35,G11-N3.45E-75.15,H11-N3.55E-75.15,I10-N3.65E-75.25,J10-N3.75E-75.25,F4-N3.35E-75.85,G4-N3.45E-75.85,D4-N3.15E-75.85,E4-N3.25E-75.85,E5-N3.25E-75.75,F5-N3.35E-75.75,H4-N3.55E-75.85,D5-N3.15E-75.75,F2-N3.35E-76.05,D3-N3.15E-75.95,L13-N3.95E-74.95,D2-N3.15E-76.05,G3-N3.45E-75.95,H3-N3.55E-75.95,E3-N3.25E-75.95,F3-N3.35E-75.95,I5-N3.65E-75.75,J5-N3.75E-75.75,I4-N3.65E-75.85,J4-N3.75E-75.85,C2-N3.05E-76.05,B3-N2.95E-75.95,I6-N3.65E-75.65,J6-N3.75E-75.65,D6-N3.15E-75.65,E6-N3.25E-75.65,G5-N3.45E-75.75,H5-N3.55E-75.75,H6-N3.55E-75.65,I3-N3.65E-75.95,F6-N3.35E-75.65,G6-N3.45E-75.65,H8-N3.55E-75.45,I8-N3.65E-75.45,H7-N3.55E-75.55,I7-N3.65E-75.55,K4-N3.85E-75.85,K5-N3.85E-75.75,H9-N3.55E-75.35,I9-N3.65E-75.35,C4-N3.05E-75.85,B5-N2.95E-75.75,C3-N3.05E-75.95,B4-N2.95E-75.85,F7-N3.35E-75.55,G7-N3.45E-75.55,C5-N3.05E-75.75,C6-N3.05E-75.65,L6-N3.95E-75.65,J7-N3.75E-75.55,L5-N3.95E-75.75,K6-N3.85E-75.65,M12-N4.05E-75.05
2000-06-11,0.00243598,0.0904519,0.226181,0.0452516,0.0,0.145031,0.590369,0.538892,3.0703,2.62092,1.35258,3.32411,1.54288,0.825629,1.01126,0.269764,0.643709,1.12592,0.774539,0.780649,0.240606,0.367502,0.928189,0.479888,0.743613,1.18179,0.0,1.94607,1.87356,1.6327,0.920084,1.09955,0.826118,1.79313,1.95736,1.21487,2.23733,8.67778,0.814921,1.10819,0.179801,0.271724,0.417081,0.289127,0.0611695,2.87137,0.260323,0.132444,1.21642,0.681757,0.353926,0.212604,1.64354,2.60455,2.45711,1.5378,3.28418,0.548261,1.12082,4.71685,0.28072,0.509285,0.588444,0.231363,0.829261,0.137743,2.11855,1.06517,0.0566008
2000-06-12,0.0283818,0.0184295,6.02e-05,0.0,0.032135,1.4995,0.987221,0.129404,0.0383434,0.000847566,0.0,0.0,0.000871664,0.000405765,0.000174848,0.0,0.218616,0.458696,0.692235,0.343058,0.016044,0.0714857,0.490474,0.0197484,2.18873,0.497936,0.031757,0.528421,1.45686,0.574912,0.451412,0.646426,0.592166,2.50791,0.239274,2.19395,0.622947,0.882437,0.665175,0.543381,0.0188052,0.0180669,0.0913112,0.015914,0.0139339,1.304,0.0765919,0.0790631,0.0,0.0,0.0,0.0189419,3.8399,2.50926,0.000494752,0.0,0.695303,0.328994,1.94024,1.36498,0.0,0.0,0.157584,0.0169291,2.46843,0.0349876,3.41578,0.91023,0.00391604
2000-06-13,1.42352,4.88894,4.39583,1.59694,5.15446,2.84117,1.57296,1.89232,5.70004,6.26792,2.34073,2.86145,10.4113,6.48087,2.81538,0.392708,1.37678,2.33656,1.18033,0.739837,0.803543,1.07088,4.61326,0.255306,1.11253,1.20346,4.96547,0.380647,1.9562,3.87835,0.609571,0.849227,3.20148,2.12157,2.71406,2.88076,0.249907,1.89411,4.38649,0.776669,0.272251,0.972772,3.59222,7.84709,21.3769,2.75573,1.53796,7.61544,6.56553,1.30498,10.4682,1.98979,2.52753,2.00791,6.86756,2.11264,0.871341,0.435658,1.74375,0.300739,1.28777,4.61046,0.44445,0.168552,1.98534,0.189651,2.97229,1.19522,7.80503
2000-06-14,1.54649,3.53002,3.68945,3.20854,1.03189,1.78457,2.6852,1.80335,0.655302,3.64207,1.75737,2.87098,1.5657,3.46595,12.446,5.40821,1.49933,1.45209,0.904443,0.785185,0.236802,1.12787,2.63671,0.321449,0.210424,2.29391,0.987041,0.0244373,2.28525,3.45119,1.67987,1.35939,3.80697,6.09245,4.74489,6.55524,0.261128,3.00514,4.86746,4.52211,1.03496,1.94119,2.75421,2.73737,6.64489,2.38896,0.922942,2.59072,5.6678,3.34471,12.2834,8.93033,2.59073,4.43639,4.97265,12.9522,2.10884,1.17796,3.15893,0.601947,1.00172,3.36869,0.816517,1.3442,0.687974,4.79879,1.99219,1.3275,0.902112
2000-06-15,40.1079,35.1498,38.1662,26.5543,26.8846,21.9572,31.197,32.6018,25.7443,25.8582,25.9647,21.3228,26.7624,32.6492,27.7925,36.0314,13.4716,14.276,21.8487,11.95,19.0651,17.9235,19.7554,27.7354,9.93676,18.8801,22.9877,7.74145,15.5735,17.8568,13.2573,19.1928,23.7883,23.9146,19.7123,17.5904,8.29333,27.7547,27.9373,28.1623,20.7586,21.351,25.2624,26.255,28.5573,10.604,21.0361,22.6443,24.0669,34.649,22.5295,32.628,7.78322,14.8375,18.7152,27.9623,16.9188,25.4498,17.595,21.3391,20.746,23.6371,28.6146,24.8351,11.3097,40.3501,2.69358,15.5208,5.86163
2000-06-16,13.8846,16.1434,12.6253,12.9675,17.3235,22.7608,15.8063,17.5998,7.97458,9.58509,5.05377,5.28455,10.0244,11.884,10.4035,8.84021,10.6876,7.17725,5.7298,14.3989,10.895,12.9744,3.34414,4.72181,9.71109,6.70579,19.6163,7.8254,5.52286,3.80525,15.1791,11.4905,5.52933,4.11557,2.96763,4.19864,2.27009,3.93872,3.57749,8.73708,3.15945,12.2244,9.52455,4.75193,7.20628,2.16452,12.319,10.8461,6.35141,7.211,6.89977,6.84166,5.90458,4.36971,5.42424,9.81237,1.90253,2.66474,3.72886,2.91013,12.2632,7.6284,1.19316,1.22354,14.2286,11.3771,7.87104,12.5644,24.6555
2000-06-17,13.0512,3.76696,5.85701,10.4519,14.8735,15.175,9.60324,12.1136,8.40225,6.91776,17.2747,15.03,5.95884,2.89,12.368,14.498,16.1758,14.192,15.5004,19.5522,25.6917,19.9079,7.55515,15.5659,13.4693,21.359,10.5751,14.7797,10.8938,10.6349,13.7709,11.7977,14.5893,14.2427,8.33727,11.2508,11.0341,25.8747,10.3371,9.524,14.5768,21.4955,15.735,12.9499,14.6723,12.2228,26.7785,18.4417,21.5401,20.5145,20.8555,14.4316,10.7812,17.7629,14.8689,14.8948,26.9329,19.9334,20.745,21.879,22.4426,24.1453,28.1763,17.329,16.7461,7.67134,18.6703,14.2005,18.6905
2000-06-18,0.936472,2.12494,1.08225,1.1324,0.921419,2.36959,0.983651,0.818188,4.05359,5.36989,6.68554,7.17867,3.51136,3.05055,2.16074,4.04065,9.37077,4.99667,7.42203,10.6345,7.35144,8.21214,3.093,5.69502,7.05782,17.6763,1.86382,13.4868,5.09628,2.83366,13.7947,11.172,2.54274,1.90171,3.15946,3.37559,6.823,4.52206,2.14362,1.23182,7.87895,6.53277,6.61486,3.49041,5.32843,3.43393,6.18808,8.33611,5.34809,2.19834,5.03874,3.22639,4.50791,1.45079,6.41401,2.218,5.93533,4.41449,8.49677,4.02965,7.86934,7.35681,5.13075,5.32186,1.3041,2.74699,2.86498,0.58315,0.418372
2000-06-19,1.55601,4.18891,4.76308,3.76789,4.88226,3.71556,3.62861,2.77889,5.5445,9.48047,6.32556,3.79391,5.72879,5.66048,4.62852,2.17197,7.27762,3.15519,7.98016,6.6891,7.53456,6.96204,6.65462,10.1147,4.73388,6.90678,4.62442,13.6688,7.12087,6.4668,5.88743,5.82711,5.56494,4.76334,2.77992,3.30485,10.0685,12.5951,9.93355,7.17974,7.70579,6.21559,8.52424,5.79307,12.1626,3.0627,3.94508,7.33836,8.23581,8.99166,11.3887,12.1103,4.6027,3.70108,7.29198,7.54411,12.1401,11.5254,10.3334,7.37079,3.96174,9.66544,9.3519,8.00682,2.7767,6.30863,3.0647,1.77433,6.98459
2000-06-20,6.11743,0.129472,1.11772,3.11972,2.47699,0.206239,0.704139,2.40205,1.36676,2.25692,2.57759,2.42277,0.198742,0.452037,3.57199,5.13265,0.446762,2.1057,0.0,0.0908631,0.0744048,0.706229,2.38903,0.128269,0.222237,0.0,0.445475,0.181554,2.97299,2.31462,1.96502,2.49608,3.90017,5.48059,3.70727,5.08863,0.0,0.0,4.82164,6.1388,0.00470777,0.100715,2.01572,3.03549,4.00444,3.40137,0.574224,2.14339,5.4356,6.82222,4.39201,6.00298,6.81548,8.03659,3.59634,6.19763,3.06933,0.666194,0.201986,0.556782,1.07349,2.68408,0.0951643,0.171643,9.08235,7.32089,9.34402,8.53141,1.62713
2000-06-21,3.61417,5.79359,5.52279,5.67608,4.02077,4.81653,7.49578,5.1776,3.13948,3.50053,2.9702,2.8336,3.08635,6.92866,3.35491,3.1785,1.37741,1.44178,1.07401,1.58597,1.15026,0.649615,1.75236,1.80179,1.1134,0.92665,5.51101,0.941755,1.17737,0.758181,1.62312,1.88143,1.59179,0.843091,1.68259,3.35213,1.15825,1.25324,1.52478,2.04047,1.43166,1.59344,0.9275,0.792498,0.940492,0.992101,1.20476,1.23289,1.60229,0.801538,1.12577,0.716583,1.67161,2.1732,1.6208,2.00563,5.00296,0.800137,2.89423,1.41094,2.06715,1.82168,1.828,0.663971,3.18924,1.07681,2.65331,2.52137,2.91607
2000-06-22,2.12858,2.85491,3.93544,2.62242,0.778021,0.934196,0.576545,1.08962,1.27495,0.787353,11.8491,1.33827,1.29362,4.86599,0.163163,2.24259,5.4643,6.6198,2.39012,6.29576,3.96501,8.03414,1.69697,1.77743,2.98826,3.63402,0.767447,1.47764,3.92214,1.98704,2.44236,7.46241,1.39878,3.12583,2.80352,4.98962,14.7848,3.14919,0.983559,5.22203,1.69804,1.39265,7.48125,0.875897,1.30462,2.94479,5.60462,6.76967,1.13024,0.681423,4.26099,0.656476,6.26936,4.4521,8.24761,0.199835,8.47132,0.41875,1.33866,7.49476,11.5529,6.90364,8.25032,6.45865,3.46778,1.24432,4.90221,4.07534,0.126699
2000-06-23,1.88576,5.67783,4.63749,3.49867,2.04664,3.3028,3.87875,2.75643,7.18053,5.82895,3.17452,5.55879,8.90128,6.25738,4.16939,2.81191,1.73698,1.15381,0.00617374,0.38912,0.70035,1.46103,0.90041,0.221457,1.19968,0.00645187,2.16501,1.17595,1.60055,0.820092,0.354379,2.0657,1.44128,1.73117,1.78853,2.24811,0.0,0.0,1.68977,1.25247,0.137111,0.931451,2.16352,2.24719,2.67999,0.975189,2.03765,2.94696,3.78341,3.393,3.039,2.92096,4.00172,3.41547,4.33659,3.77995,0.406447,0.345019,0.671947,0.0484542,2.41391,4.11823,0.0670359,0.09045,5.92724,2.36183,6.24134,2.66007,1.44773
2000-06-24,1.24007,1.47345,1.12447,0.606736,2.62653,1.29296,0.73831,0.909971,8.47869,4.75274,10.5132,0.703589,12.1013,3.42555,1.5355,1.32129,21.1757,19.2633,13.5617,21.7831,12.7171,7.45322,18.9021,4.41725,17.8978,17.8918,3.21428,12.3502,17.4015,19.7148,21.1684,23.5676,21.1984,21.5014,19.9578,13.8409,10.0072,5.03484,20.5055,18.7949,6.75934,9.27594,12.3273,14.7563,5.59705,17.2224,7.80882,10.2358,8.81043,8.34982,9.72108,19.7462,18.6652,20.6437,7.95796,2.35672,4.71357,14.502,15.8275,10.9967,2.60688,10.0409,3.62442,11.5748,18.4252,18.8942,17.0666,19.1657,4.57493
2000-06-25,7.46733,12.7556,13.0775,14.2681,8.73311,12.6668,12.8261,10.008,6.64212,10.221,6.24709,8.0579,6.59109,10.3923,10.788,7.46786,7.04834,16.0593,4.94737,7.01254,10.1293,16.7441,19.4636,8.00628,7.73991,6.73737,11.1011,4.21264,14.3125,24.1629,6.08401,8.57815,18.394,22.1539,30.5105,14.7704,4.61499,6.46403,7.39251,9.47741,12.9207,9.45551,15.5903,19.2144,4.99957,40.3471,10.02,12.485,7.75169,5.13932,5.45342,4.26106,7.65546,9.82906,10.0723,7.8562,5.05313,17.8888,5.06344,14.3922,3.26333,4.58456,9.31045,19.0317,10.1875,4.48864,10.3892,7.06285,9.6337
2000-06-26,0.845926,0.122782,0.0277593,0.232132,1.47325,1.05362,0.207155,0.981448,0.00108175,0.00480949,0.0,0.0,0.0139776,0.00190345,0.0887926,0.398287,5.0479,4.21476,0.0070557,6.08797,3.71785,6.88551,1.18858,2.14434,1.18595,0.255387,3.33536,1.36086,4.45115,4.14822,5.51623,0.58292,4.1473,6.30641,3.23282,5.30388,4.90611,0.00703787,6.79792,6.10316,7.30145,0.582024,2.16928,2.95928,0.000393652,3.31245,7.57031,1.27774,0.0311305,0.22707,0.00506839,0.055607,5.44167,7.62654,0.0263506,0.274305,0.0,0.00300703,3.93993,0.0,0.0,0.0,0.0,0.0,18.1448,3.58261,16.3303,14.384,3.9972
